Plate,Customer_meaning,Reviewer_comments
DRTYMX7,TRUCK IS A DURAMAX DIESEL. WE CALL IT THE DIRTYMAX. LUCKY NUMBER IS 7.,dirty mex? 7DRTYMX & DRTYMX out SINCE 2015 AND 2013, DRTYMX1 is unacceptable. Didn’t see any others. Does have a diesel Ford truck
DU PHUC,IN HONOR OF MY LATE GREAT GRANDFATHER WHO IS VIETNAMESE.,da fuck?
FCKMALL,FC KAISERSLAUTERN(FOOTBALL CLUB). MGR ALL WORLDWIDE MERCHANDISE,FUCK EM ALL
FG PTRL,THE PATROL,FAG PATROL?
FLMNCFN,FILM NOR CAL FRIENDS NETWORK,FLAMING? EFFING?
FN B3AST,"V8 ENGINE EQUALS ""BEAST"" AND THE FN IS 'FOR NOW'",fucking beast
FUHQVDM,FRIENDS UNITING IN HONOR OF QUEEN VANDERMONT. A FICTIONAL CHARACTER,FUCK YOU, DAMN.
HAPPI B,HAPPI BELLY,happy bitch
HEL TITI,KIDS NAME,HELL, TITI=PENIS IN TAGALOG
HUMMA  U,HUMMERYOU,HUMMER YOU, SEXUAL CONNOTATIONS… NO HUMMER ON ANI
HUNEEZ B,HONEY'S B,B=BITCH
H8 DIGS,HATE DIGGING,hate
ISFAP,LEXUS ISF ANNUAL PASSHOLDER,has a Lexus, pulled for 'fap' means masturbating
JP4BAJA,ITS MY JEEP FOR BAJA MEXICO TRIPS,jeep or Jap? No Jeep comes up on ani
KATS53,not on quickweb yet,PULLED FOR KAT, HER NAME IS KATHLEEN AND SHE HAS A 1953 CHEVY.
KRZY KUS,not on quickweb yet,CRAZY CUZ, CUZ IS A GANG (CRIP) TERM
LGLYPNK,MY EMAIL ADDRESS,LEGALLY PINK, PULLED FOR PINK=VAGINA
MELLCAT,THE PLATE IS FOR MINE AND MY WIFES CAR HER NAME IS MELISSA AND THE CAR IS A CHARGER HELLCAT,no Dodge on ani, pulled for cat
MOMS BOX,my car's name,box=vagina. She has a 2006 Toyota BTM=UT
M4 FU,M4 CAR BRAND FU LAST NAME,FU=FUCK YOU. IT IS HIS WHOLE LAST NAME. M4 IS A BMW, HE HAS ONE
NISMO5O,VEHICLE TYPE,HAS NISSAN BUT 50=POLICE
NSLRD8R,SLANG FOR NAVAL AVIATOR,JUST PULLED FOR 'ATE HER' OR 'EATER' ON THE END.
RD COMET,RED COMET,RED=GANG COLOR
RED2OO1,THE CAR IS A 2001 TORCH RED CORVETTE,HAS 2001 CHEVY, RED=GANG COLOR
SASY AF,SASSY WITH MY DAUGHERS INITALS ALLIE FAYE,SASSY AS FUCK
SHOTZ4U,BARTENDER AS PROFESSION,SHOTS, GUN?
SPR BLZN,SUPER BLITZEN = SUPER LIGHTNING,super blazing, drug reference. No Chevy Blazer on ani
SSTUPID,SS CAUSE MY CAR IS A CAMARO SS AND MY NICK NAME IS TUPID,STUPID… OK? HAS 2 CHEVYS
TRADCAT,TRADITIONAL CATHOLIC,CAT=PUSSY. HAS A HONDA, NO CAT CAR
TTSNBUR,SHORT FOR A SONG TITLE,TT=PENIS IN TAGALOG OR TITTIES.. NOT SURE OF SONG TITLE. NO AUDI
UNIXFTW,UNIX IS AN OPERATING SYSTEM THAT I WORK ON. FTW MEANS 'FOR THE WIN' WHICH MEANS AWESOME BASICALLY. :),FTW=FUCK THE WORLD OR FOR THE WIN
YUK14,reg 17 has no meaning written on it,14=hate symbol, customer has a 2014 BMW
2SEXC4U,nickname,too sexy for you. didn’t pull because of meaning(sexy) but because of the spelling, 'sex' is more noticeable. Found 4 similar out there and 1 unacceptable
51MORDR,MY CAR IS A 4 DOOR, MORE DOOR IS ANOTHER  NAME FOR THAT.,LOOKS LIKE MURDER
63MOLLY,BIRTHYEAR AND NAME,molly can have drug connotations, not customer's name
8GATOR8,MY DOGS NAME,88=HATE SYMBOL, NO 1988 CAR
95 SEXUV,1995 BONCO(THE SUV IT WILL BE ON) SEXY SUV  COMBINED THEM,SEX UV MEANING SUV, PULLED FOR SEX
PUERCO 1,pig,puerco means pig and in Mexico is slang for police. Customer does have a harley and this is a m/c plate
TRMF GRL,not on quickweb yet,MF, customer is Traci Clever. Not her name or initials
CHMPR$B,MY TWO SON NAMES,b=bitch
PAPA$13,IT IS THE YEAR OUR DAUGHTER WAS BORN AND MY HUSBAND BECAME HER PAPA.,13=GANG NUMBER, NO 2013 CAR ON ANI
TBLSTI,THIN BLUE LINE SUBARU TECH INTERNATIONAL,thin blue line and TBL=police
BADAS DR,HOME TOWN STREET NAME GROWING UP.,bad ass doctor
BDY PTRL,BODY PATROL,BODY PATROL=CORONER?
KIKE 16,MIDDLE NAME,KIKE=a contemptuous term used to refer to a person of Jewish religion or descent.
MOTA YO,I MOTA. MY LAST NAME IS MOTA.,mota=slang for marijuana, it is customer's last name
PISTLRO,A WILD WEST GUN MAN,PISTOLERO=A GUNMAN OR A GANGSTER (SPANISH)
1MUNCH,NICKNAME,MUNCH=EAT
2BAD4YU,I OWN IT,"BECAUSE OF ""YOU"""
88 SWX,lucky number & initials,88=HATE SYMBOL, NO 1988 CAR
FUGAA C,ITALIAN FOR ALL SCREWED UP.,NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)
LOVE8O5,I LIVE IN THE 805 AREA CODE AND LOVE IT.,805 ventura area code
XXX SML,EXTRA SMALL,XXX=PORN
ABSTACO,MY INITIALS AND THE ABBREVIATION FOR A TOYOTA TACOMA.,TACO
ANY1KLA,I HAVE THE NICEST LOOKING TRUCK,KLA LOOKS LIKE KILLA
AWD PSI,MY SUBARU IS AN ALL WHEEL DRIVE. PSI STANDS FOR PRESSURE. MY FACTORY TURBO BUILDS PRESSURE,PSI LOOKS LIKE A SEXUAL REFERENCE
BK BIRD,BLACK BIRD,BK BLOOD KILLER OR BLACK BIRD
BK9GEAR,THE NAME OF MY SMALL SIDE BUSINESS. BACK 9 GEAR,BK BLOOD KILLER
BYRNER,NICKNAME,BURNER
CHULASS,PRETTY,LOOKS LIKE CUTE ASS CHULAS IS SPANISH FOR CUTE
DIE4QTR,DIE NAME OF COMAPNY IN QTR(QATAR COUNTRY),DIE
DMAGNTT,FIRST INITIAL AND LAST NAME,CUSTOMER NAME IS D. MAGNETT HOWEVER THIS LOOKS LIKE D AS IN DICK MAGNET
DMIRISH,HUSBANDS NAME,DAMN IRISH
DMMDNYL,"DMM"" MEANS DIRECTOR OF MEDICAL MANAGEMENT AND ""DNYL"" IS MY NAME DANIEL",DAMN DANIEL
DNT BTCH,DONUT BATCH,DON’T BITCH
DORF RN,NICKNAME AND CAREER,DWARF NURSE
D ROK818,DANIEL ROCKS MY AREA CODE,818 AREA CODE
DTH E8ER,SCREEN NAME,DTH E8ER DEATH EATER
D849O21,NOTHING JUST SOMETHING RANDOM YET SIMPLE,LOOK A LIKE
EF EWE2,FAMILY JOKE,FUCK YOU EFF YOU
EUROTIC,ANOTHER TERM FOR EUROPAN AND EXOTIC CARS,EURO EROTIC
FK IT O1,FUNK IT #1,FUCK IT
FLIP 76O,MY NAME IS PHILIP, AND MY NICKNAME IS FLIP. MY CAR IS A 1990 VOLVO 760T. FLIP FROM MY NAME AND THE 760 FROM MY CAR.,760 AREA CODE
FN SLYR,REPRESENT MY FAVORITE BAND. IN HONORING OF THE LATE GREAT JEFF HANNEMAN, SLAYER'S GUITARIST.,EFFIN SLAYER FUN SLAYER
G HAUS,RESTURANT IN FAIRFAX CA,G AS IN GANGSTER
G STATE,G STATE,G AS IN GANGSTER
HABICHT,FAMILY NAME, MEANS 'HAWK' IN GERMAN,HA BITCH
HA IDGAF,IT MEANS I DON'T CARE.,HA I DON’T GIVE A FUCK
HECKA55,HECK OF A 1955,COULD BE HECKA 55 ALSO LOOKS LIKE HECKA ASS
HEMI714,ENGINE OF CAR AND AREA CODE,714 AREA CODE
HOLYFCK,HOLY-MEANS (I AM A RELIGIOUS PERSON) F- MEANS (FAITH IN GOD) C- MEANS (CHRIST AS IN JESUS CHRIST),HOLY FUCK
HTSHTZ1,HOTSHOTZ COURIER SERVICE,LOOKS LIKE HOT SHOTS OR HOT SHITS
HUF4RTD,HAVE UNWAVERING FAITH (4) RESPECT THE DAY,WHO FARTED
ITFDB67,ITS TIME FOR DODGER BASEBALL 67TH AMD FINAL SEASON FOR THE GREAT VIN SCULLY.,FDB FUCK THAT BITCH
I 707 I,707 HORSE POWER,707 AERA CODE
KLNSPRE,KILLING SPREE,KILLING SPREE
KYLSEAN,COMBINATION OF THE NAMES OF MY 2 SONS KYLE AND SEAN,KILL SEAN
KYLSTRK,KYLES TRUCK,KILL STREAK
LA 88,LOS ANGELES 1988. CITY OF BIRTH BORN IN 1988,88 HITLER REFERENCE
LGBTQ,GENDER DIVERSITY,LESBIAN GAY BISEXUAL TRANS QUEER ONLY PULLING AS CUSTOMER COULD BE TARGETED
LOC 74,SAME LICENSE PLATE AS BROTHER WHO PASSED AWAY IN ILLINOIS.,LOC GANG REFERENCE
LOWWHOE,CUSTOM VEHICLE REPRESENTATION. ITS A TAHOE AND ITS LOWERED,HOE
LS3 HOE,MOTOR SIZE,HOE
MACS 10,INITIALS OF MY DAUGTHER NAME,MAC 10 GUN
MINI TT,MY CAR IS A MINI COOPER AND TT IS THE ABBREVIATION FOR MY NAME TIM TRAN,TT BREAST
MK65O,INITIALS AND MODEL,650 AREA CODE
NEGRA 14,BLACK TRUCK, YEAR 2014,14 GANG REFERENCE
N93OJF,THIS IS THE FAA TAIL NUMBER ON MY PRIVATE PLANE. PLEASE CENTER THESE 6 CHARACTERS ON THE PLATE! THANKS,LOOKS LIKE LEGACY SEQ.
OD JEEP,OLIVE DRAB JEEP,ODD JEEP OR OVER DOSE
OG CAMEO,ORIGINAL CAMEO PICKUP,OG ORIGINAL GANGSTER
OG FROG,I HAVE ALWAYS LIKED FROGS SO I'M THE ORIGINAL FROG LOVER,OG ORIGINAL GANGSTER
OQOQ888,MY GRANDFATHER INITIAL AND 3 8'S REPRESENT MY LUCKY NUMBER,LOOKS LIKE ALL DIGITS
OQQQOQQ,NONE,LOOKS LIKE ALL DIGITS
OSX4EVA,I AM SYSTEMS ADMIN AND USE MAC OS X. IT IS A TRIBUTE TO THE NAME OF THE SOFTWARE.,OH SEX FORVER
P2729O5,BIRTHDATES OF FAMILY MEMBERS,LOOK A LIKE
QSMYSS,KISS MY SS,KISS MY ASS
RB 1 OFF,GET THE DIRT OFF OF YOUR CAR,RUB ONE OFF MASTURBATE
REDCUBN,I HAVE RED HAIR AND AM CUBAN,RED CUBAN
RTRD BUG,RAT ROD BUG,RETARD BUG
SEXY A5,GOOD LOOKING AUDI,LOOKS LIKE SECY AS
SHEBOB,SHELLY BOB,SHE BOB A SEXUAL TERM FELACIOUS ACTS
SNOBUNS,SNOBUNS STANDS FOR SNOW BUNNY AND THIS IS A TERM ONE USES ON THE SLOPES TO REFER TO A FEMALE SNOWBOARDER OR SKIER.,SNOW BUNNY SLANG FOR CAUCASION WOMAN
STEEL18,STEELER FAN,18 HITLER REFERENCE
SXTNINE,YEAR OF CAR,69 SEXUAL REFERENCE
THAT DC5,THAT CAR,LOOKS LIKE THAT DICK CUSTOMER INITIALS ARE D.C.
TRAMP 1,MY DOG,TRAMP
TRAP QWN,A NICK NAME,TRAP QUEEN
TRK YEAA,TRUCK YEA A SONG,TRUCK YEAH FUCK YEAH
TROY FTW,"TR0JAN GRADUATE: ""TROY FOR THE WIN""",FUCK THE WORLD
USCJO13,IM JOE FROM LOCAL 13 AND A USC FAN.,13 GANG REFERENCE
VTEC 13,VTEC IS THE SYSTEM DEVELOPED BY HONDA AND THE 13 IS THE YEAR OF THE CAR 2013,13 GANG REFERENCE
WETSU 62,WE EAT THIS STUFF UP BATTLE SHIP NEW JERSEY BB62,WE EAT THIS SHIT UP
YOGA 88,DO YOGA BE HAPPY AND HEALTHY,88 HITLER REFERENCE
ZEROFKG,ZERO FOR KING GEORGE,O FUCKS GIVEN
1 SLW G,IT STANDS FOR ONE SLOW G. G STANDS FOR INFINITI G35 WHICH IS THE MAKE OF MY CAR.,G AS IN GANGSTER
1ST MSLE,1ST MUSCLE CAR,1ST MISSILE
2BIG 4UA,MY 10 YEAR OLD SON CAME UP WITH THAT DUE TO THE FACT THAT I HAVE A,TOO BIG FOR YOU AYE?
2LTRFTW,2 LITERS FOR THE WIN,2 LITER FUCK THE WORLD
4335OR1,NO SPESIAL MEANING,LOOKS LIKE A COMMERCIAL
9549OY1,MY SILVERADO PLATE NUMBER,LOOKS LIKE A COMMERCIAL
MAKE $,I AM A THERAPIST WHO HELP PEOPLE CREATE BETTER RELATIONSHIPS AND THIS PLATE SYMBOLIZES MY LIFE WORK,MAKE LOVE
MACS668,,668 AREA CODE
INDICA,"CLASSICAL GREEK AND LATIN FOR ""OF INDIA""",MARIJUANA STRAND
NMRK88,NAM MYOHO RENGE KYO,88 HITLER REFERENCE
DRF4LFE,DIRT ROAD FANATIC FOR LIFE,DWARF FOR LIFE
JST 1 PMP,JUST 1 PUMP,JUST ONE PIMP JUST ONE PUMP
TATA X2,JUST 1 PUMP,TATA TIME 2 BREAST
MTRBUKR,MOMMA BUCK,MOTHER FUCKER MUTTER BUCKER
POP BOB,MY GRANDCHILDREN CALL ME POP BOB,SHOOT BOB
SNO BNZ,LAST NAME AND VEHICLE TYPE,SNOW BUNNIES OR SNO BENZ
G RTRANS,,G AS IN GANGSTER
HEL BOND,,HELL BOUND
MYOC 714,,714 AREA CODE
ND 18,,18 HITLER REFERENCE
PERICO1,,PARROT ALSO SLANG FOR COCAINE
VADER 18,,18 HITLER REFERENCE
714 RT78,,714 AREA CODE
3900 MK,,LOOK A LIKE BOAT
BK $ MI,,BK BLOOD KILLER
B&S GOD,,LOOKS BULL SHIT GOD
BLISS 13,NICKNAME,13=GANG NUMBER, NO 2013 ON ANI
BRO GTFO,A GREETING AMONG FRIENDS,GTFO=GET THE FUCK OUTTA HERE
C4 KVG,FIRST INITIAL AND GRANDCHILRENS' INITIAL,C4=AN EXPLOSIVE
DUZ 14S,MY CAR WILL GO 1/4 MILE TRACK IN 14 SECONDS,14=HATE SYMBOL, NO 2014 ON ANI
FCKHO35,FAMILY MEMBERS INITIALS AND FAV NUMBERS,FUCK HOES
FIENDZ,"FRIENDS WITHOUT ""R""",COULD BE DRUG REFERENCE
GODOY18,LAST NAME AND BIRTH DATE,18=HATE SYMBOL
GRAMZ,GRANDMA,COULD BE DRUG REFERENCE
G 911 B,MY INITIAL AND CAR MODEL,G=GANGSTER
HARDCAT,SHOW CAR,CAT CAN HAVE SEXUAL CONNOTATION
HATED64,PEOPLE HATE THAT THEY DON'T OWN ONE FOR THEMSELVES,PULLED FOR THE WORD HATED
HELICOP,HELICOPTER, HELIO,COP=LAW ENFORCEMENT
HEL KTN,HELL KITTEN,PULLED FOR THE WORD HELL, AND KTN=KITTEN, COULD IMPLY SEXUAL CONNOTATION (DOES OWN A DODGE)
HI PUTA,HI TO MY GRANDMA'S NICKNAME,PUTA MEANS WHORE OR BITCH IN SPANISH
JIB GIRL,A GIRL WHO SNOWBOARDS,JIB CAN BE SLANG FOR CRYSTAL METH
JICE,NICK NAME,JICE CAN MEAN JIZ+NICE, SEXUAL CONNOTATION
KNKYBRN,UNIVERSITY OF KANSAS AND UNIVERSITY OF KENTUCKY BRAIN,KINKY BROWN? COULD IMPLY SEXUAL CONNOTATION
LA NEGRI,THE BLACKY,NEGRI CAN MEAN FEMALE VERSION OF NIGGER OR BABY NIGGER
OGSK8ER,OLD SKATER,OG=ORIGINAL GANGSTER
TARFUN1,THINGS ARE REALLY FUN UP NOW,THINGS ARE REALLY FUCKED UP NOW
TITI95,IT IS MY NICKNAME IN MY FAMILY,TITI CAN HAVE SEXUAL CONNOTATION
TKM2DKM,TAKE ME TO THE TRACK,DTK CAN MEAN DOWN TO KILL
TRK4ROD,TRUCK FOR ROD,ROD CAN MEAN AN ERECT PENIS
VGSMOB6,THE FAMILY OF 6,PULLED FOR THE WORD MOB
WDGANG6,OUR FAMILY IS THE WEISS-DALTON GANG OF SIX PEOPLE,PULLED FOR THE WORD GANG
WHC BJ,NAME,BJ=BLOW JOB, SEXUAL CONNOTATION
X82D ABN,ALUMNI 82ND AIRBORNE DIVISION,ABN CAN MEAN ASSHOLE BY NATURE
ZIGG ZAG,MEANING NOT LISTED ON REG 17,CAN BE DRUG REFERENCE
13 ROCKY,NICKNAME,13=GANG NUMBER, NO 2013 ON ANI
18 RAMS,ROMAN GABRIELS JERSEY NUMBER,18=HATE SYMBOL
3KITTTY 3,KITTY AS IN CAT, THE NUMBERS MAKE IT THE FIRST AVAILABLE KITTY THAT IS UNUSED.,KITTY CAN HAVE SEXUAL CONNOTATION
3TH,THIS IS MY ONLINE SCREEN NAME WHEN PLAYING VIDEO GAMES,TH CAN MEAN TITTY  HARDON, SEXUAL CONNOTATION
7O2 TOWN,NO MEANING ON REG 17,702=AREA CODE
77 88,THIS IS THE DECIMAL ASCII ENCODING OF MY  INITIALS M=77 AND X=88.,88=HATE SYMBOL
8O5PASO,AREA CODE AND PASO ROBLES,805=AREA CODE
88KTK88,LUCKY RICH AND HEALTHY,88=HATE SYMBOL
FXRMOBN,CHASSIS CODE,PULLED FOR THE WORD MOB
13HOURS,NO QUICKWEB AVAILABLE,13=GANG NUMBER, NO 2013 ON ANI
EGM 13,ELK GROVE MILLING, ONE THREE,13=GANG NUMBER, (EGM 12 WAS ISSUED TO SAME COMPANY, DID NOT FIND ANY OTHER PLATES ISSUED IN SEQUENCE)
BJSDLIT,MEANING NOT LISTED ON REG 17,BJ=BLOW JOB, SEXUAL CONNOTATION
KUSHKLR,A LAND IN ANCIENT AFRICA THAT WAS HOME TO THE NUBIANS,KUSH KILLER, DRUG REFERENCE
MYDMSLF,MY DAMN SELF,MY DAMN SELF
OG CAMRY,ORIGINAL CAMRY,OG=ORIGINAL GANGSTER
PIG B 8,"PROMOTIONAL TOOL FOR A BBQ COMPANY ""PIG BE ATE"" CUASE ITS SO GOOD!",PIG=CAN BE MISREPRESENTATION OF LAW ENFORCEMENT
R8OGS,MODEL OF THE MOTORCYCLE (BMW R80G/S),OG=ORIGINAL GANGSTER
MOLYBLU,MOLLY BLUE,MOLLY COULD BE DRUG REFERENCE, (LAST NAME IS BLUE)
ASYLUMM,OUR FAMILY TRAILER IS OUR ASYLUM. THANK  YOU,MENTAL HOSPITAL
HODOR,,HO
5TORM,,LOOK A LIKE
2FLYNHI,IN MEMORY OF OUR SON WE LOST TO CANCER  AND OUR SON WE LOST TO STILLBIRTH,TO BE HIGH
YIFF M3,,CYBER SEX
T4RDIS O,TARDIS TYPE 40,RETARD
AR13NA,,13 GANG REFERENCE
AUNB3AR,,SUB E FOR 3
BENGAZI,NEVER FORGET,BENGAZI ATTACK
BIGDZSD,"BIG D IS MY NICKNAME I AM 6'3"" 350LBS AND SD  IS FOR THE TRUCK SUPER DUTY",BIG DICK
BONZ 13,NICK NAME AND FAVORITE NUMBER,13 GANG REFERENCE
BUGBOMB,MINIATURE HOT WHEELS,BOMB
BYPO925,,925 AREA CODE
B1G NUTT,BUSINESS NAME GO BIG TRUCK PERFORMANCE,NUTT
CUZ KIDS,BECAUSE KIDS,CUZ  GANG REFERENCE
DABUMZ,,BUMZ COULD BE ASS
DENZ 13,MY NAME AND AUTO YEAR,13 GANG REFERENCE
DTOM 2AM,,"DTOM ""DICK TAKER OF MEN"""
DUNG HO,ORGANIC FERTILIZER PROPONENT,HO
EN G AY,,GAY
FN THING,FAST VOLKSWAGEN THING TYPE 181,FUCKING THING
GAGRPUR,VILLAGE IN INDIA PUNJAB,GAG
GUNDARK,"ITS A STAR WARS CREATURE. HAN SOLO  SPEAKING TO LUKE SKYWALKER: ""YOU LOOK  STRONG ENOUGH TO PULL THE EARS OFF A  GUNDARK""",GUN
HAYS619,LAST NAME/ AREA CODE,619 AREA CODE
H1LL YA,ROCK CLIMBING,HELL YEAH
I CIBO,,BO NEW TERM FOR CODINE/SPRITE
IN ON 1,,HIGH OR DRUNK
IOIIII,,
JMT8RJL,THE INITIALS OF MY PARENTS.,
JOLT3ON,FAVORITE CHILDHOOD CARTOON CHARACTER,  FROM THE SERIES CALLED POKEMON.,
JOK BOXX,,BOXX
KAKE MAN,I'M A PASTRY CHEF,KAKE
KRPT TKR,I AM A LICENSED FUNERAL DIRECTOR - CRYPT TAKER,
L7E707,,LOOK ALIKE HAM PLATE
MES RED,,RED
MOLLYOC,NAME,MOLLY DRUG REFERENCE
MR2O9,ITS MY INTSGRAME NAME,209 AREA CODE
M99 A04,KIDS FIRST NAME INITIAL AND YEAR THEY WERE BORN,LOOK ALIKE HAM PLATE
NVR DYE,,DYE
ONY YXXX,BLACK SOLID,XXX
OO Q OO,,LOOKS LIKE ALL DIGITS
RBRN 69,GOING ON RESTORED 1969 GTO,SEXUAL 69
SIG 9MM,SIMPLE IS GOOD REMEMBERING 9 MILLION  MOTHERS,9MM GUN
SKI2UDI,,SKI TILL YOU DIE
SMKNGUY,I OWN TULARE MEAT LOCKER & SAUSAGE CO  AND I SMOKE MEAT SO I THINK IT WOULD BE A GREAT PLATE SMOKING GUY,SMOKING
SRFRDIE,SURF OR DIE,SURF OR DIE
SSTRIKR,SUPER SPORT AND NICKNAME,STRIKER
TNASLYR,ITS TUNA SLAYER ABBREVIATED . I TUNA FISH LIKE CRAZY. FITS ME VERY WELL,TITS AND ASS SLAYER
TONKA 13,,13 GANG REFERENCE
V110875,,LOOK ALIKE TIN NUMBER
WIKKID 13,,13 GANG REFERENCE
WSS1314,NAME,LOOKS LIKE A TIN NUMBER
W246088,,LOOKS LIKE A TIN NUMBER
18EAV1,,18 GANG REFERENCE
2I113,,13 GANG REFERENCE
21826K0,,LOOKS LIKE A COMMERCIAL PLATE
38316VC,OFF ROAD VEHICLE CODE SECTION 38316 CVC,
8 MEEH,JUST WANT IT,ATE ME
888ME88,,88 GANG OR HATE GROUP
8888 KEN,,888 HATE GROUP
BENNY14,,14 GANG REFERENCE
FIDHMF,,MF MOTHER FUCKER
OGPOLAB,,OG ORIGINAL GANGSTER
18K333,,18 GANG REFERENCE
$CCAKE,,CAKE
DDPERK,WE ARE A DUNKIN DONUT FRANCHISEE,PERKY DOUBLE D'S
ZZTUSH,ZZ TOP TRIBUTE BAND WWW.ZZTUSH.COM,"TUSH ""ASS"""
BAKOBUS,BAKO IS SHORT FOR BAKERSFIELD AS MANY CALL THE CITY BAKO. AND THE WORD BUS IS USED, BECAUSE IT WILL GO ON A VW BUS,BACK OF BUS
DOPE MNY,AWSOME MONEY,DOPE MONEY
EFOGVET,,OG ORIGINAL GANGSTER
FEDKRMA,NICK NAME FED, SHORT FOR FEDER. CAR IS A  FISKER KARMA,FED KARMA
IMNATY2,I'M NASTY TOO. IT'S GOING ON A RAT ROD.,IM NAUGHTY TO
N714LA,MY HOMEBUILT AIRPLANE REGISTRATION NUMBER,714 AREA CODE
QWNNN B,QUEEN BELERIQUE,QUEEN B
BLU/SPK,BLUE SPARK,COLOR BLUE, GANG AFFILIATION
*23*RED/,23 RED ON ROULETTE TABLE,COLOR RED, GANG AFFILIATION
981BLUE/,BLUE 981 PORSCHE CAYMAN,COLOR BLUE, GANG AFFILIATION
95/BLUE/,GRADUATING CLASS OF UNIVERSITY OF MICHIGAN 1995,COLOR BLUE, GANG AFFILIATION
89/SMOKR,1989 DODGE CUMMINGS DIESEL, NICK NAME FOR TRUCK,SMOKING, SMOKER
RED1986,1986 RED PORSCHE CARRERA,COLOR RED, GANG AFFILIATION
GR8/SHOT,NOT ON QUICKWEB,GREAT SHOT, SHOOTING, VIOLENCE
AFSTCAT,NO MEANING ON REG 17,CAT COULD HAVE SEXUAL CONNOTATION
BAECHES,BEACHES,"COULD MEAN ""BITCHES"""
BADKTTI,CAR IS A JAGUAR LIKE A CAT, MEANING IS BAD KITTY,KTTI=KITTY, COULD HAVE SEXUAL CONNOTATION
BB7O7,WIFES INITIALS AND OUR AREA CODE,707=AREA CODE
BLU DAWG,BLUE DOG DEMOCRAT,BLUE=GANG COLOR
CK LIFE,NO MEANING ON REG 17,CK=CRIP KILLER
COQUE75,NO MEANING ON REG 17,COQUE=COKE? COULD BE DRUG REFERENCE
CRS CHKU,CROSS CHECK,"CRS CAN ALSO MEAN ""CANT REMEMBER SHIT"""
DI HRD,DIE HARD,DIE HARD
DOZER NO,DOG'S NAME,DOZER=SLANG FOR MARIJUANA
DRT TCO,DIRT TACO (TACOMA),"""TACO"" COULD HAVE SEXUAL CONNOTATION"
DRTYLRI,CLEANING BUSINESS,DIRTY LORI, COULD HAVE SEXUAL CONNOTATION
DUONG18,FATHER,18=HATE SYMBOL
FELNBLU,FEELING BLUE,BLUE=GANG COLOR
GG SVVAG,MY NICE WAGON,"""VAG"" CAN BE SHORT FOR VAGINA"
HFAH,HUSBAND FOR AN HOUR,"""HEFFA"""
IFLYO69,O69 IS A DESIGNATION OF PETALUMA MUNICIPAL  AIRPORT,69 CAN HAVE SEXUAL CONNOTATION
IGOT5 ON,I GOT FIVE ON IT,"""I GOT 5 ON IT"", MARIJUANA REFERENCE"
INTO DNB,INTO DRUM N BASS MUSIC,"DNB CAN ALSO MEAN ""DO NOTHING BITCH"" (TOP DEFINITION ON URBAN DICTIONARY)"
JAPJIT,MY SON NAME,"PULLED FOR ""JAP"", RACIALLY DEGRADING TERM"
KST CAT,KANSAS STATE WILDCAT UNIVERSITY,CAT COULD HAVE SEXUAL CONNOTATION
LA CAJA,"""THE BOX"" IN SPANISH","CAJA=BOX OR ""CHOCHA"", CAN HAVE SEXUAL CONNOTATION"
MAD M4,IT REPRESENTS THE AGGRESSIVE PHYSICAL CHARACTER OF MY VEHICLE,M4 IS AN ASSAULT RIFLE
MTHAFCK,NO SPECIAL MEANING,MOTHERFUCK
M4 AMS,MODEL M4 WITH INITALS OF OWNER,M4 IS AN ASSAULT RIFLE
N13 MA15,89602Y1,13=GANG NUMBER
N17M1OG,BIRTH DATES OF LOVED ONES,OG=ORIGINAL GANGSTER
ONT 1MFG,IT MEANS MY NICKNAME,"MFG CAN MEAN ""MY FUCKING GOD"""
REDTRUC,I AM A FIREFIGHTER AND THIS STANDS FOR THE RED TRUCKS THAT I DRIVE TO KEEP THE PEOPLE THAT I SERVE SAFE.,RED=GANG COLOR
RYU 14,RYU FOR THE STREET FIGHTER GAMES BECAUSE CAR IS JAPANESE AND 14 FOR THE MODEL YEAR,14-HATE SYMBOL
SALAS13,NO MEANING ON REG 17,13=GANG NUMBER, NO 2013 ON ANI
SCUMMYY,NICKNAME,SCUMMY
SERW S14,SOUTH EAST REDWOODS S14,14=HATE SYMBOL, NO 2014 ON ANI
SHESS 13,SHAWN+JESS+2013,13=GANG NUMBER, NO 2013 ON ANI
SN OFGUN,LAST NAME IS PISTOLE,SON OF A GUN
SPUKE 69,CHILD NAME,69 CAN HAVE SEXUAL CONNOTATION, NO 1969 ON ANI
SRFNM13,PERSONAL,13=GANG NUMBER, NO 2013 ON ANI
STLGANG,PITTSBURGH STEELERS FOOTBALL FANS AND PLATE COLOR IS TEAM COLORS,"PULLED FOR ""GANG"""
TNT 7714,MEANS MY WIFE AND MY FIRST INITIALS AND THE DATE WE WERE MARRIED,TNT=AN EXPLOSIVE
WNR LVR,I HAVE TWO DACHSHUNDS (WIENER DOGS). PLATE MEANS WIENER LOVER,WEINER LOVER, COULD HAVE SEXUAL CONNOTATION
X13X,LUCKY 13,13=GANG NUMBER, NO 2013 ON ANI
2FKN AZN,TO FREAKEN ASIAN,TOO FUCKIN ASIAN?
3FLYNH I,I HAVE 3 SONS AND THIS PLATE IS FOR MY LIFTED TRUCK…,"""FLYIN HI"" COULD BE DRUG REFERENCE"
